window: 22ms, time: 117.3µs, drift: -111.1µs
window: 10ms, time: 73.8µs, drift: 2.03ms
window: 10ms, time: 54.8µs, drift: 1.6192ms
window: 10ms, time: 48µs, drift: 2.0924ms
window: 10ms, time: 34.6µs, drift: 1.8076ms
window: 10ms, time: 40.2µs, drift: 1.9275ms
window: 10ms, time: 43.6µs, drift: 2.2626ms
window: 10ms, time: 42.1µs, drift: 2.1834ms
window: 10ms, time: 58.5µs, drift: 1.7724ms
window: 10ms, time: 55.3µs, drift: 1.808ms
window: 10ms, time: 45.7µs, drift: 2.0988ms
window: 10ms, time: 67µs, drift: 2.1067ms
window: 10ms, time: 48µs, drift: 1.9264ms
window: 10ms, time: 44.2µs, drift: 2.0431ms
window: 10ms, time: 51.9µs, drift: 1.6066ms
window: 10ms, time: 58.1µs, drift: 1.9445ms
window: 10ms, time: 96.8µs, drift: 1.9007ms
window: 10ms, time: 48µs, drift: -1.592ms
window: 10ms, time: 43.3µs, drift: -1.7427ms
window: 10ms, time: 99.2µs, drift: -1.3041ms
window: 10ms, time: 44µs, drift: -1.5365ms
window: 10ms, time: 43.5µs, drift: -1.4753ms
window: 10ms, time: 49.6µs, drift: -1.8846ms
window: 10ms, time: 43.4µs, drift: -1.6807ms
window: 10ms, time: 96.9µs, drift: -2.0783ms
window: 10ms, time: 58.9µs, drift: -1.9573ms
window: 10ms, time: 43.8µs, drift: -1.8893ms
window: 10ms, time: 55.2µs, drift: -1.381ms
window: 10ms, time: 66.6µs, drift: -2.0905ms
window: 10ms, time: 62.4µs, drift: -1.1919ms
window: 10ms, time: 42.5µs, drift: -1.5534ms
window: 10ms, time: 43.9µs, drift: -1.5123ms
window: 10ms, time: 45.1µs, drift: -1.7618ms
window: 10ms, time: 53µs, drift: -1.861ms
window: 10ms, time: 35.3µs, drift: -1.6341ms
window: 10ms, time: 31.1µs, drift: -1.2475ms
window: 10ms, time: 30.6µs, drift: -1.7255ms
window: 10ms, time: 27.7µs, drift: -1.4261ms
window: 10ms, time: 30.6µs, drift: -1.2869ms
window: 10ms, time: 44.3µs, drift: -1.2559ms
window: 10ms, time: 28µs, drift: -1.6316ms
window: 10ms, time: 28.8µs, drift: -1.3643ms
window: 10ms, time: 25.8µs, drift: -1.0476ms
window: 10ms, time: 29.3µs, drift: -1.2379ms
window: 10ms, time: 39.6µs, drift: -1.1976ms
window: 10ms, time: 48.9µs, drift: -1.4366ms
